race,candidate,precinct_name,precinct_code,votes,county_code
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,Total,-1,49853,KP
U.S. Senator,Maria Cantwell,BREMERTON 001,100001,346,KP
U.S. Senator,Susan Hutchison,BREMERTON 001,100001,148,KP
Congressional District 6 - U.S. Representative,Derek Kilmer,BREMERTON 001,100001,366,KP
Congressional District 6 - U.S. Representative,Douglas Dightman,BREMERTON 001,100001,122,KP
Supreme Court - Justice Position 2,Susan Owens,BREMERTON 001,100001,324,KP
Supreme Court - Justice Position 8,Nathan Choi,BREMERTON 001,100001,130,KP
Supreme Court - Justice Position 8,Steve Gonzalez,BREMERTON 001,100001,251,KP
Supreme Court - Justice Position 9,Sheryl Gordon McCloud,BREMERTON 001,100001,313,KP
"Court of Appeals, Division 2, District 2 - Judge Position 2",Rebecca Glasgow,BREMERTON 001,100001,312,KP
Legislative District 26 - State Senator,Emily Randall,BREMERTON 001,100001,338,KP
Legislative District 26 - State Senator,Marty McClendon,BREMERTON 001,100001,149,KP
Legislative District 26 - State Representative Pos. 1,Connie FitzPatrick,BREMERTON 001,100001,326,KP
Legislative District 26 - State Representative Pos. 1,Jesse L. Young,BREMERTON 001,100001,155,KP
Legislative District 26 - State Representative Pos. 2,Joy Stanford,BREMERTON 001,100001,314,KP
Legislative District 26 - State Representative Pos. 2,Michelle Caldier,BREMERTON 001,100001,169,KP
Kitsap County Commissioner District 3,Edward Wolfe,BREMERTON 001,100001,285,KP
Kitsap County Assessor,Phil Cook,BREMERTON 001,100001,281,KP
Kitsap County Auditor,Paul Andrews,BREMERTON 001,100001,263,KP
Kitsap County Auditor,Richard Huddy,BREMERTON 001,100001,152,KP
Kitsap County Clerk,Alison Sonntag,BREMERTON 001,100001,366,KP
Kitsap County Coroner,Russ Reuther,BREMERTON 001,100001,152,KP
Kitsap County Coroner,Jeff Wallis,BREMERTON 001,100001,276,KP
Kitsap County Prosecuting Attorney,Chad M. Enright,BREMERTON 001,100001,367,KP
Kitsap County Sheriff,Gary L. Simpson,BREMERTON 001,100001,363,KP
Kitsap County Treasurer,Meredith Green,BREMERTON 001,100001,358,KP
DISTRICT COURT District Court Judge Department 1,Claire A. Bradley,BREMERTON 001,100001,311,KP
DISTRICT COURT District Court Judge Department 2,Jeffrey J. Jahns,BREMERTON 001,100001,309,KP
DISTRICT COURT District Court Judge Department 3,Marilyn Paja,BREMERTON 001,100001,318,KP
DISTRICT COURT District Court Judge Department 4,Kevin P. Kelly,BREMERTON 001,100001,309,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Heather Pauley,BREMERTON 001,100001,221,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Nate Andrews,BREMERTON 001,100001,143,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,BREMERTON 001,100001,270,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,BREMERTON 001,100001,228,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,BREMERTON 001,100001,264,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,BREMERTON 001,100001,232,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,BREMERTON 001,100001,334,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,BREMERTON 001,100001,165,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,BREMERTON 001,100001,208,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,BREMERTON 001,100001,260,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,BREMERTON 001,100001,356,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,BREMERTON 001,100001,141,KP
U.S. Senator,Maria Cantwell,BREMERTON 002,100002,212,KP
U.S. Senator,Susan Hutchison,BREMERTON 002,100002,108,KP
Congressional District 6 - U.S. Representative,Derek Kilmer,BREMERTON 002,100002,237,KP
Congressional District 6 - U.S. Representative,Douglas Dightman,BREMERTON 002,100002,79,KP
Supreme Court - Justice Position 2,Susan Owens,BREMERTON 002,100002,207,KP
Supreme Court - Justice Position 8,Nathan Choi,BREMERTON 002,100002,72,KP
Supreme Court - Justice Position 8,Steve Gonzalez,BREMERTON 002,100002,175,KP
Supreme Court - Justice Position 9,Sheryl Gordon McCloud,BREMERTON 002,100002,203,KP
"Court of Appeals, Division 2, District 2 - Judge Position 2",Rebecca Glasgow,BREMERTON 002,100002,197,KP
Legislative District 26 - State Senator,Emily Randall,BREMERTON 002,100002,216,KP
Legislative District 26 - State Senator,Marty McClendon,BREMERTON 002,100002,99,KP
Legislative District 26 - State Representative Pos. 1,Connie FitzPatrick,BREMERTON 002,100002,207,KP
Legislative District 26 - State Representative Pos. 1,Jesse L. Young,BREMERTON 002,100002,104,KP
Legislative District 26 - State Representative Pos. 2,Joy Stanford,BREMERTON 002,100002,201,KP
Legislative District 26 - State Representative Pos. 2,Michelle Caldier,BREMERTON 002,100002,110,KP
Kitsap County Commissioner District 3,Edward Wolfe,BREMERTON 002,100002,173,KP
Kitsap County Assessor,Phil Cook,BREMERTON 002,100002,170,KP
Kitsap County Auditor,Paul Andrews,BREMERTON 002,100002,197,KP
Kitsap County Auditor,Richard Huddy,BREMERTON 002,100002,67,KP
Kitsap County Clerk,Alison Sonntag,BREMERTON 002,100002,242,KP
Kitsap County Coroner,Russ Reuther,BREMERTON 002,100002,106,KP
Kitsap County Coroner,Jeff Wallis,BREMERTON 002,100002,162,KP
Kitsap County Prosecuting Attorney,Chad M. Enright,BREMERTON 002,100002,239,KP
Kitsap County Sheriff,Gary L. Simpson,BREMERTON 002,100002,236,KP
Kitsap County Treasurer,Meredith Green,BREMERTON 002,100002,234,KP
DISTRICT COURT District Court Judge Department 1,Claire A. Bradley,BREMERTON 002,100002,196,KP
DISTRICT COURT District Court Judge Department 2,Jeffrey J. Jahns,BREMERTON 002,100002,193,KP
DISTRICT COURT District Court Judge Department 3,Marilyn Paja,BREMERTON 002,100002,199,KP
DISTRICT COURT District Court Judge Department 4,Kevin P. Kelly,BREMERTON 002,100002,194,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Heather Pauley,BREMERTON 002,100002,150,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Nate Andrews,BREMERTON 002,100002,107,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,BREMERTON 002,100002,175,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,BREMERTON 002,100002,143,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,BREMERTON 002,100002,178,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,BREMERTON 002,100002,139,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,BREMERTON 002,100002,197,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,BREMERTON 002,100002,122,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,BREMERTON 002,100002,137,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,BREMERTON 002,100002,168,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,BREMERTON 002,100002,223,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,BREMERTON 002,100002,97,KP
U.S. Senator,Maria Cantwell,BREMERTON 003,100003,408,KP
U.S. Senator,Susan Hutchison,BREMERTON 003,100003,227,KP
Congressional District 6 - U.S. Representative,Derek Kilmer,BREMERTON 003,100003,454,KP
Congressional District 6 - U.S. Representative,Douglas Dightman,BREMERTON 003,100003,178,KP
Supreme Court - Justice Position 2,Susan Owens,BREMERTON 003,100003,432,KP
Supreme Court - Justice Position 8,Nathan Choi,BREMERTON 003,100003,176,KP
Supreme Court - Justice Position 8,Steve Gonzalez,BREMERTON 003,100003,324,KP
Supreme Court - Justice Position 9,Sheryl Gordon McCloud,BREMERTON 003,100003,430,KP
"Court of Appeals, Division 2, District 2 - Judge Position 2",Rebecca Glasgow,BREMERTON 003,100003,423,KP
Legislative District 26 - State Senator,Emily Randall,BREMERTON 003,100003,396,KP
Legislative District 26 - State Senator,Marty McClendon,BREMERTON 003,100003,234,KP
Legislative District 26 - State Representative Pos. 1,Connie FitzPatrick,BREMERTON 003,100003,377,KP
Legislative District 26 - State Representative Pos. 1,Jesse L. Young,BREMERTON 003,100003,246,KP
Legislative District 26 - State Representative Pos. 2,Joy Stanford,BREMERTON 003,100003,363,KP
Legislative District 26 - State Representative Pos. 2,Michelle Caldier,BREMERTON 003,100003,260,KP
Kitsap County Commissioner District 3,Edward Wolfe,BREMERTON 003,100003,403,KP
Kitsap County Assessor,Phil Cook,BREMERTON 003,100003,393,KP
Kitsap County Auditor,Paul Andrews,BREMERTON 003,100003,349,KP
Kitsap County Auditor,Richard Huddy,BREMERTON 003,100003,166,KP
Kitsap County Clerk,Alison Sonntag,BREMERTON 003,100003,451,KP
Kitsap County Coroner,Russ Reuther,BREMERTON 003,100003,234,KP
Kitsap County Coroner,Jeff Wallis,BREMERTON 003,100003,333,KP
Kitsap County Prosecuting Attorney,Chad M. Enright,BREMERTON 003,100003,453,KP
Kitsap County Sheriff,Gary L. Simpson,BREMERTON 003,100003,468,KP
Kitsap County Treasurer,Meredith Green,BREMERTON 003,100003,452,KP
DISTRICT COURT District Court Judge Department 1,Claire A. Bradley,BREMERTON 003,100003,420,KP
DISTRICT COURT District Court Judge Department 2,Jeffrey J. Jahns,BREMERTON 003,100003,416,KP
DISTRICT COURT District Court Judge Department 3,Marilyn Paja,BREMERTON 003,100003,418,KP
DISTRICT COURT District Court Judge Department 4,Kevin P. Kelly,BREMERTON 003,100003,415,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Heather Pauley,BREMERTON 003,100003,307,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Nate Andrews,BREMERTON 003,100003,200,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,BREMERTON 003,100003,316,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,BREMERTON 003,100003,315,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,BREMERTON 003,100003,343,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,BREMERTON 003,100003,289,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,BREMERTON 003,100003,382,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,BREMERTON 003,100003,257,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,BREMERTON 003,100003,290,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,BREMERTON 003,100003,323,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,BREMERTON 003,100003,443,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,BREMERTON 003,100003,192,KP
U.S. Senator,Maria Cantwell,BREMERTON 005,100005,340,KP
U.S. Senator,Susan Hutchison,BREMERTON 005,100005,117,KP
Congressional District 6 - U.S. Representative,Derek Kilmer,BREMERTON 005,100005,352,KP
Congressional District 6 - U.S. Representative,Douglas Dightman,BREMERTON 005,100005,104,KP
Supreme Court - Justice Position 2,Susan Owens,BREMERTON 005,100005,313,KP
Supreme Court - Justice Position 8,Nathan Choi,BREMERTON 005,100005,134,KP
Supreme Court - Justice Position 8,Steve Gonzalez,BREMERTON 005,100005,231,KP
Supreme Court - Justice Position 9,Sheryl Gordon McCloud,BREMERTON 005,100005,307,KP
"Court of Appeals, Division 2, District 2 - Judge Position 2",Rebecca Glasgow,BREMERTON 005,100005,303,KP
Legislative District 26 - State Senator,Emily Randall,BREMERTON 005,100005,341,KP
Legislative District 26 - State Senator,Marty McClendon,BREMERTON 005,100005,114,KP
Legislative District 26 - State Representative Pos. 1,Connie FitzPatrick,BREMERTON 005,100005,317,KP
Legislative District 26 - State Representative Pos. 1,Jesse L. Young,BREMERTON 005,100005,133,KP
Legislative District 26 - State Representative Pos. 2,Joy Stanford,BREMERTON 005,100005,314,KP
Legislative District 26 - State Representative Pos. 2,Michelle Caldier,BREMERTON 005,100005,133,KP
Kitsap County Commissioner District 3,Edward Wolfe,BREMERTON 005,100005,243,KP
Kitsap County Assessor,Phil Cook,BREMERTON 005,100005,239,KP
Kitsap County Auditor,Paul Andrews,BREMERTON 005,100005,285,KP
Kitsap County Auditor,Richard Huddy,BREMERTON 005,100005,110,KP
Kitsap County Clerk,Alison Sonntag,BREMERTON 005,100005,343,KP
Kitsap County Coroner,Russ Reuther,BREMERTON 005,100005,127,KP
Kitsap County Coroner,Jeff Wallis,BREMERTON 005,100005,272,KP
Kitsap County Prosecuting Attorney,Chad M. Enright,BREMERTON 005,100005,351,KP
Kitsap County Sheriff,Gary L. Simpson,BREMERTON 005,100005,350,KP
Kitsap County Treasurer,Meredith Green,BREMERTON 005,100005,353,KP
DISTRICT COURT District Court Judge Department 1,Claire A. Bradley,BREMERTON 005,100005,302,KP
DISTRICT COURT District Court Judge Department 2,Jeffrey J. Jahns,BREMERTON 005,100005,279,KP
DISTRICT COURT District Court Judge Department 3,Marilyn Paja,BREMERTON 005,100005,298,KP
DISTRICT COURT District Court Judge Department 4,Kevin P. Kelly,BREMERTON 005,100005,286,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Heather Pauley,BREMERTON 005,100005,230,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Nate Andrews,BREMERTON 005,100005,142,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,BREMERTON 005,100005,253,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,BREMERTON 005,100005,207,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,BREMERTON 005,100005,221,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,BREMERTON 005,100005,235,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,BREMERTON 005,100005,299,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,BREMERTON 005,100005,161,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,BREMERTON 005,100005,194,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,BREMERTON 005,100005,246,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,BREMERTON 005,100005,330,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,BREMERTON 005,100005,127,KP
U.S. Senator,Maria Cantwell,BREMERTON 006,100006,289,KP
U.S. Senator,Susan Hutchison,BREMERTON 006,100006,138,KP
Congressional District 6 - U.S. Representative,Derek Kilmer,BREMERTON 006,100006,321,KP
Congressional District 6 - U.S. Representative,Douglas Dightman,BREMERTON 006,100006,103,KP
Supreme Court - Justice Position 2,Susan Owens,BREMERTON 006,100006,286,KP
Supreme Court - Justice Position 8,Nathan Choi,BREMERTON 006(*),100006,0,KP
Supreme Court - Justice Position 8,Steve Gonzalez,BREMERTON 006(*),100006,0,KP
Supreme Court - Justice Position 9,Sheryl Gordon McCloud,BREMERTON 006,100006,284,KP
"Court of Appeals, Division 2, District 2 - Judge Position 2",Rebecca Glasgow,BREMERTON 006,100006,282,KP
Legislative District 26 - State Senator,Emily Randall,BREMERTON 006,100006,302,KP
Legislative District 26 - State Senator,Marty McClendon,BREMERTON 006,100006,124,KP
Legislative District 26 - State Representative Pos. 1,Connie FitzPatrick,BREMERTON 006,100006,281,KP
Legislative District 26 - State Representative Pos. 1,Jesse L. Young,BREMERTON 006,100006,143,KP
Legislative District 26 - State Representative Pos. 2,Joy Stanford,BREMERTON 006,100006,266,KP
Legislative District 26 - State Representative Pos. 2,Michelle Caldier,BREMERTON 006,100006,157,KP
Kitsap County Commissioner District 3,Edward Wolfe,BREMERTON 006,100006,243,KP
Kitsap County Assessor,Phil Cook,BREMERTON 006,100006,239,KP
Kitsap County Auditor,Paul Andrews,BREMERTON 006,100006,274,KP
Kitsap County Auditor,Richard Huddy,BREMERTON 006,100006,93,KP
Kitsap County Clerk,Alison Sonntag,BREMERTON 006,100006,323,KP
Kitsap County Coroner,Russ Reuther,BREMERTON 006,100006,132,KP
Kitsap County Coroner,Jeff Wallis,BREMERTON 006,100006,242,KP
Kitsap County Prosecuting Attorney,Chad M. Enright,BREMERTON 006,100006,318,KP
Kitsap County Sheriff,Gary L. Simpson,BREMERTON 006,100006,317,KP
Kitsap County Treasurer,Meredith Green,BREMERTON 006,100006,313,KP
DISTRICT COURT District Court Judge Department 1,Claire A. Bradley,BREMERTON 006,100006,273,KP
DISTRICT COURT District Court Judge Department 2,Jeffrey J. Jahns,BREMERTON 006,100006,263,KP
DISTRICT COURT District Court Judge Department 3,Marilyn Paja,BREMERTON 006,100006,278,KP
DISTRICT COURT District Court Judge Department 4,Kevin P. Kelly,BREMERTON 006,100006,268,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Heather Pauley,BREMERTON 006,100006,187,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Nate Andrews,BREMERTON 006,100006,152,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,BREMERTON 006,100006,216,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,BREMERTON 006,100006,220,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,BREMERTON 006,100006,225,KP
Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,BREMERTON 006,100006,205,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,BREMERTON 006,100006,276,KP
Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,BREMERTON 006,100006,161,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,BREMERTON 006,100006,191,KP
Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,BREMERTON 006,100006,224,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,BREMERTON 006,100006,308,KP
Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,BREMERTON 006,100006,127,KP
U.S. Senator,Maria Cantwell,BREMERTON 007,100007,5,KP
U.S. Senator,Susan Hutchison,BREMERTON 007,100007,5,KP
Congressional District 6 - U.S. Representative,Derek Kilmer,BREMERTON 007,100007,7,KP
Congressional District 6 - U.S. Representative,Douglas Dightman,BREMERTON 007,100007,3,KP
Supreme Court - Justice Position 2,Susan Owens,BREMERTON 007,100007,3,KP
Supreme Court - Justice Position 8,Nathan Choi,BREMERTON 007(*),100007,0,KP
Supreme Court - Justice Position 8,Steve Gonzalez,BREMERTON 007(*),100007,0,KP
Supreme Court - Justice Position 9,Sheryl Gordon McCloud,BREMERTON 007,100007,3,KP
"Court of Appeals, Division 2, District 2 - Judge Position 2",Rebecca Glasgow,BREMERTON 007,100007,3,KP
Legislative District 35 - State Senator,Irene Bowling,BREMERTON 007,100007,4,KP
Legislative District 35 - State Senator,Tim Sheldon,BREMERTON 007,100007,5,KP
Legislative District 35 - State Representative Pos. 1,Dan Griffey,BREMERTON 007,100007,5,KP
Legislative District 35 - State Representative Pos. 1,James Thomas,BREMERTON 007,100007,5,KP
Legislative District 35 - State Representative Pos. 2,David Daggett,BREMERTON 007,100007,5,KP
Legislative District 35 - State Representative Pos. 2,Drew C. MacEwen,BREMERTON 007,100007,3,KP
Kitsap County Commissioner District 3,Edward Wolfe,BREMERTON 007,100007,2,KP
Kitsap County Assessor,Phil Cook,BREMERTON 007,100007,2,KP
Kitsap County Auditor,Paul Andrews,BREMERTON 007,100007,5,KP
Kitsap County Auditor,Richard Huddy,BREMERTON 007,100007,5,KP
Kitsap County Clerk,Alison Sonntag,BREMERTON 007,100007,5,KP
Kitsap County Coroner,Russ Reuther,BREMERTON 007,100007,6,KP
Kitsap County Coroner,Jeff Wallis,BREMERTON 007,100007,5,KP
Kitsap County Prosecuting Attorney,Chad M. Enright,BREMERTON 007,100007,5,KP
Kitsap County Sheriff,Gary L. Simpson,BREMERTON 007,100007,5,KP
Kitsap County Treasurer,Meredith Green,BREMERTON 007,100007,5,KP
DISTRICT COURT District Court Judge Department 1,Claire A. Bradley,BREMERTON 007,100007,3,KP
DISTRICT COURT District Court Judge Department 2,Jeffrey J. Jahns,BREMERTON 007,100007,3,KP
DISTRICT COURT District Court Judge Department 3,Marilyn Paja,BREMERTON 007,100007,3,KP
DISTRICT COURT District Court Judge Department 4,Kevin P. Kelly,BREMERTON 007,100007,3,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Heather Pauley,BREMERTON 007,100007,6,KP
PUBLIC UTILITY DISTRICT NO. 1 Commissioner District 3,Nate Andrews,BREMERTON 007,100007,2,KP
Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,BREMERTON 007,100007,3,KP
